[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.001) SELECT VERSION(); args=None
[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.249) SHOW FULL TABLES; args=None
[2016-12-15 17:28:55] DEBUG [django.db.backends:90] (0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 17:29:21] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:29:21] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:21] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 17:29:22] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:22] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 17:29:22] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 17:29:36] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:29:36] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:36] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 17:29:37] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:37] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 17:29:37] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.001) SELECT VERSION(); args=None
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 17:29:50] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 17:30:24] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:30:24] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:30:24] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 17:30:25] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:30:25] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 17:30:25] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 17:32:08] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 17:32:08] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:32:08] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 17:32:09] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 17:32:09] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 17:32:09] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
